UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,18-20,21-29,30-39,40-49,50-59,60-69,70-79,80-89,90 AND ABOVE,MALE ELECTORS,WOMEN ELECTORS
P. 121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 121,LEMBAH PANTAI,100431,4140,15053,22276,19448,16354,13486,6904,2246,524,52139,48292
P. 122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 122,SEPUTEH,124986,6395,20694,22581,23029,21092,16370,10382,3774,669,60833,64153
P. 123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 123,CHERAS,98965,3802,13462,16011,17417,17873,16568,9720,3393,719,49310,49655
P. 124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 124,BANDAR TUN RAZAK,121161,7569,25740,27074,22496,17979,12624,6014,1476,189,60490,60671
P. 125,WILAYAH PERSEKUTUAN PUTRAJAYA,P. 125,PUTRAJAYA,45730,4054,9393,11982,11506,4567,3376,781,65,6,22445,23285
P. 126,NEGERI SEMBILAN,P. 126,JELEBU,60599,2894,10346,13586,12379,7834,7199,4714,1398,249,30692,29907
P. 127,NEGERI SEMBILAN,P. 127,JEMPOL,96253,4708,17283,25902,17401,10405,12508,6331,1488,227,47060,49193
P. 128,NEGERI SEMBILAN,P. 128,SEREMBAN,161403,10626,33312,33241,27734,22875,19437,10070,3307,801,80026,81377
P. 129,NEGERI SEMBILAN,P. 129,KUALA PILAH,63541,3155,11011,13250,11105,9468,8593,4560,1962,437,31442,32099
P. 130,NEGERI SEMBILAN,P. 130,RASAH,160634,10938,34842,32753,27125,22661,18535,9778,3232,770,79207,81427
P. 131,NEGERI SEMBILAN,P. 131,REMBAU,138286,9949,32463,30728,22681,18779,14811,6427,2014,434,68014,70272
P. 132,NEGERI SEMBILAN,P. 132,PORT DICKSON,110692,8700,24425,23747,18719,14868,11783,6067,1931,452,58462,52230
P. 133,NEGERI SEMBILAN,P. 133,TAMPIN,81648,3927,15963,20401,15355,10059,9257,4834,1601,251,41169,40479
P. 134,MELAKA,P. 134,MASJID TANAH,70084,4310,14925,15539,11799,9828,7872,4056,1501,254,34118,35966
P. 135,MELAKA,P. 135,ALOR GAJAH,94745,5901,19233,20632,16517,13311,10831,5840,2095,385,46614,48131
P. 136,MELAKA,P. 136,TANGGA BATU,119528,8624,29028,28360,21052,14782,10772,5140,1514,256,61330,58198
P. 137,MELAKA,P. 137,HANG TUAH JAYA,120852,7698,25174,27199,21119,16442,13867,6950,2095,308,59269,61583
P. 138,MELAKA,P. 138,KOTA MELAKA,165535,8819,30091,33050,28577,24446,22246,12936,4486,884,80469,85066
P. 139,MELAKA,P. 139,JASIN,98126,6046,20775,21323,17069,14143,10950,5534,1986,300,47853,50273
P. 140,JOHOR,P. 140,SEGAMAT,69702,3200,12669,15809,11521,9722,9705,5001,1707,368,35185,34517
P. 141,JOHOR,P. 141,SEKIJANG,64704,3757,13110,14800,11910,8303,7283,4166,1203,172,31946,32758
