STATE,GE14_PARLIAMENTARY_CODE,GE14_PARLIAMENTARY_NAME,GE14_TOTAL_ELECTORS,GE14_TOTAL_TURNOUT,GE14_NORMAL_VOTERS_PERCENT,GE14_MILITARY_VOTERS_PERCENT,GE14_POLICE_VOTERS_PERCENT,GE14_ABSENT_VOTERS_PERCENT,GE14_POSTAL_VOTER_SHARE_PERCENT,GE15_PARLIAMENTARY_CODE,GE15_PARLIAMENTARY_NAME,GE15_TOTAL_ELECTORS,GE15_TOTAL_TURNOUT,GE15_NORMAL_VOTERS_PERCENT,GE15_MILITARY_VOTERS_PERCENT,GE15_POLICE_VOTERS_PERCENT,GE15_ABSENT_VOTERS_PERCENT,GE15_POSTAL_VOTER_SHARE,NUMERICAL_GROWTH_OF_POSTAL_VOTERS_SINCE_GE14
KELANTAN,P.030,JELI,47470,39627,93.93,5.46,0.61,0.00,3.02,P.030,JELI,59798,43732,96.83,2.69,0.48,0.00,4.73,871
KELANTAN,P.031,KUALA KRAI,70348,56278,99.62,0.00,0.37,0.00,2.09,P.031,KUALA KRAI,92335,65684,99.70,0.00,0.30,0.00,2.23,286
KELANTAN,P.032,GUA MUSANG,52524,41206,99.53,0.00,0.46,0.01,1.78,P.032,GUA MUSANG,70254,49306,99.63,0.00,0.37,0.01,,
TERENGGANU,P.033,BESUT,86627,72323,97.97,1.57,0.45,0.01,2.50,P.033,BESUT,111650,86487,98.42,1.23,0.34,0.01,2.86,659
TERENGGANU,P.034,SETIU,86247,73673,99.61,0.04,0.34,0.01,2.13,P.034,SETIU,107294,86029,99.70,0.02,0.27,0.00,2.13,266
TERENGGANU,P.035,KUALA NERUS,83663,73211,97.88,1.12,0.98,0.02,2.44,P.035,KUALA NERUS,105952,88536,98.48,0.79,0.72,0.01,2.23,188
TERENGGANU,P.036,KUALA TERENGGANU,103611,87786,98.51,0.05,1.41,0.03,2.14,P.036,KUALA TERENGGANU,123305,97605,98.84,0.03,1.11,0.02,,
TERENGGANU,P.037,MARANG,104898,92046,99.19,0.23,0.56,0.02,2.70,P.037,MARANG,131756,110250,99.43,0.13,0.43,0.01,,
TERENGGANU,P.038,HULU TERENGGANU,73487,63428,99.61,0.00,0.38,0.01,2.16,P.038,HULU TERENGGANU,87917,72905,99.73,0.00,0.26,0.00,1.92,31
TERENGGANU,P.039,DUNGUN,90506,76706,99.34,0.05,0.59,0.02,1.80,P.039,DUNGUN,115559,92128,99.47,0.03,0.48,0.01,1.74,226
TERENGGANU,P.040,KEMAMAN,107593,92007,99.58,0.02,0.39,0.01,1.30,P.040,KEMAMAN,139423,114533,99.71,0.01,0.27,0.01,,
PULAU PINANG,P.041,KEPALA BATAS,60523,53127,98.71,0.00,1.29,0.00,2.16,P.041,KEPALA BATAS,83081,70150,99.17,0.00,0.83,0.00,2.03,281
PULAU PINANG,P.042,TASEK GELUGOR,60850,52890,95.65,4.14,0.20,0.01,2.39,P.042,TASEK GELUGOR,80868,67790,96.77,3.07,0.15,0.01,2.64,526
PULAU PINANG,P.043,BAGAN,71583,60642,99.74,0.00,0.26,0.01,0.76,P.043,BAGAN,89447,69516,99.80,0.00,0.20,0.00,1.11,309
PULAU PINANG,P.044,PERMATANG PAUH,81789,70686,99.07,0.00,0.92,0.01,2.03,P.044,PERMATANG PAUH,107186,88254,99.28,0.00,0.71,0.01,2.33,618
PULAU PINANG,P.045,BUKIT MERTAJAM,88998,75977,99.90,0.00,0.08,0.01,0.98,P.045,BUKIT MERTAJAM,120819,93695,99.96,0.00,0.03,0.01,1.32,491
PULAU PINANG,P.046,BATU KAWAN,65394,55479,99.65,0.00,0.34,0.00,1.06,P.046,BATU KAWAN,88812,69759,99.78,0.00,0.22,0.00,1.26,289
PULAU PINANG,P.047,NIBONG TEBAL,73383,63199,99.36,0.00,0.63,0.01,2.09,P.047,NIBONG TEBAL,100062,80477,99.45,0.00,0.54,0.01,1.97,264
PULAU PINANG,P.048,BUKIT BENDERA,75069,60429,98.37,0.88,0.73,0.03,1.36,P.048,BUKIT BENDERA,92521,63404,98.84,0.54,0.60,0.02,2.38,689
PULAU PINANG,P.049,TANJONG,49586,40130,98.23,0.11,1.65,0.01,0.77,P.049,TANJONG,52803,38141,98.29,0.09,1.62,0.00,1.33,197
PULAU PINANG,P.050,JELUTONG,76991,64584,98.88,0.00,1.10,0.02,1.68,P.050,JELUTONG,93989,71753,99.01,0.00,0.99,0.01,2.24,526
PULAU PINANG,P.051,BUKIT GELUGOR,91595,76489,99.80,0.07,0.10,0.03,1.27,P.051,BUKIT GELUGOR,117134,86996,99.85,0.06,0.07,0.02,1.98,747
PULAU PINANG,P.052,BAYAN BARU,90780,75884,97.17,2.39,0.40,0.04,1.73,P.052,BAYAN BARU,119640,91217,98.11,1.60,0.27,0.03,2.52,992
PULAU PINANG,P.053,BALIK PULAU,59086,50564,98.52,0.00,1.47,0.01,1.92,P.053,BALIK PULAU,80264,64937,99.01,0.00,0.98,0.01,1.99,323
PERAK,P.054,GERIK,35903,28032,90.00,6.49,3.50,0.01,3.87,P.054,GERIK,47565,35360,94.09,3.58,2.32,0.01,4.13,377
PERAK,P.055,LENGGONG,29752,23719,99.81,0.00,0.17,0.01,2.79,P.055,LENGGONG,36950,28190,99.86,0.00,0.14,0.00,2.74,111
PERAK,P.056,LARUT,49453,40470,99.51,0.00,0.48,0.01,2.55,P.056,LARUT,65719,52764,99.65,0.00,0.34,0.01,2.67,375
PERAK,P.057,PARIT BUNTAR,51860,43347,99.79,0.00,0.19,0.02,2.10,P.057,PARIT BUNTAR,68502,53596,99.85,0.00,0.14,0.01,2.25,294
PERAK,P.058,BAGAN SERAI,59293,48381,99.39,0.00,0.60,0.01,2.18,P.058,BAGAN SERAI,80293,63519,99.59,0.00,0.41,0.00,2.29,395
PERAK,P.059,BUKIT GANTANG,69873,57867,99.86,0.00,0.12,0.02,2.51,P.059,BUKIT GANTANG,94253,72738,99.91,0.00,0.08,0.01,2.34,252
PERAK,P.060,TAIPING,90729,71297,94.38,4.93,0.67,0.03,3.11,P.060,TAIPING,121566,86159,96.30,3.28,0.40,0.01,2.89,273
PERAK,P.061,PADANG RENGAS,30996,25698,99.86,0.00,0.13,0.01,2.53,P.061,PADANG RENGAS,38686,30316,99.89,0.00,0.11,0.01,2.80,199
PERAK,P.062,SUNGAI SIPUT,55002,43662,99.51,0.00,0.48,0.01,1.92,P.062,SUNGAI SIPUT,72395,52725,99.59,0.00,0.40,0.00,2.11,272
PERAK,P.063,TAMBUN,107763,88920,95.61,1.51,2.86,0.02,3.52,P.063,TAMBUN,160558,126502,97.04,1.33,1.62,0.01,3.10,798
PERAK,P.064,IPOH TIMOR,91486,71726,96.95,0.53,2.39,0.13,1.95,P.064,IPOH TIMOR,118178,80845,97.81,0.50,1.66,0.03,2.82,883
PERAK,P.065,IPOH BARAT,84874,66852,99.23,0.35,0.35,0.07,1.75,P.065,IPOH BARAT,114654,79315,99.24,0.49,0.26,0.01,1.91,344
PERAK,P.066,BATU GAJAH,81399,63804,99.10,0.16,0.72,0.02,1.26,P.066,BATU GAJAH,111896,75938,99.47,0.02,0.50,0.01,1.79,555
PERAK,P.067,KUALA KANGSAR,36954,30701,98.97,0.00,1.02,0.02,2.75,P.067,KUALA KANGSAR,46985,36232,99.28,0.00,0.71,0.01,2.99,242
PERAK,P.068,BERUAS,79794,61617,99.74,0.00,0.24,0.02,1.51,P.068,BERUAS,108249,73484,99.82,0.00,0.16,0.01,2.08,593
PERAK,P.069,PARIT,35910,29547,98.64,0.39,0.96,0.01,3.12,P.069,PARIT,47915,38173,99.01,0.23,0.76,0.00,3.34,353
