Negeri,PARLIAMENT SEAT (2018 - ),Area (sq km),NOTES
JOHOR,P.147 PARIT SULONG,468,AS per 2018 Gazetted Redelineation
JOHOR,P.148 AYER HITAM,747,AS per 2018 Gazetted Redelineation
JOHOR,P.149 SRI GADING,300,AS per 2018 Gazetted Redelineation
JOHOR,P.150 BATU PAHAT,446,AS per 2018 Gazetted Redelineation
JOHOR,P.151 SIMPANG RENGGAM,751,AS per 2018 Gazetted Redelineation
JOHOR,P.152 KLUANG,256,AS per 2018 Gazetted Redelineation
JOHOR,P.153 SEMBRONG,1865,AS per 2018 Gazetted Redelineation
JOHOR,P.154 MERSING,2849,AS per 2018 Gazetted Redelineation
JOHOR,P.155 TENGGARA,1152,AS per 2018 Gazetted Redelineation
JOHOR,P.156 KOTA TINGGI,1446,AS per 2018 Gazetted Redelineation
JOHOR,P.157 PENGERANG,885,AS per 2018 Gazetted Redelineation
JOHOR,P.158 TEBRAU,502,AS per 2018 Gazetted Redelineation
JOHOR,P.159 PASIR GUDANG,148,AS per 2018 Gazetted Redelineation
JOHOR,P.160 JOHOR BAHRU,35,AS per 2018 Gazetted Redelineation
JOHOR,P.161 PULAI,73,AS per 2018 Gazetted Redelineation
JOHOR,P.162 ISKANDAR PUTERI,294,AS per 2018 Gazetted Redelineation
JOHOR,P.163 KULAI,737,AS per 2018 Gazetted Redelineation
JOHOR,P.164 PONTIAN,444,AS per 2018 Gazetted Redelineation
JOHOR,P.165 TANJUNG PIAI,486,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN LABUAN,P.166 LABUAN,96,AS per 2018 Gazetted Redelineation
SABAH,P.167 BANGGI,2445,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P.168 KOTA MARUDU,2171,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P.169 KOTA BELUD,1366,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 170 TUARAN,1149,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 171 SEPANGGAR,272,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 172 KOTA KINABALU,56,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 173 PUTATAN,71,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 174 PENAMAPANG,436,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 175 PAPAR,681,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 176 KIMANIS,786,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 177 BEAUFORT,926,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 178 SIPITANG,3608,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 179 RANAU,3785,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 180 KENINGAU,2477,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 181 TENOM,2403,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 182 PENSIANGAN,8325,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 183 BELURAN,7568,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 184 LIBARAN,846,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 185 BATU SAPI,560,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 186 SANDAKAN,39,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 187 KINABATANGAN,17877,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 188 SILAM,8249,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 189 SEMPORNA,1116,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 190 TAWAU,1436,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SABAH,P. 191 KALABAKAN,4490,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
SARAWAK,P. 192 MAS GADING,1481,As per 2015 Gazetted Redelineation
SARAWAK,P. 193 SANTUBONG,1501,As per 2015 Gazetted Redelineation
SARAWAK,P. 194 PETRA JAYA,126,As per 2015 Gazetted Redelineation
SARAWAK,P. 195 BANDAR KUCHING,35,As per 2015 Gazetted Redelineation
SARAWAK,P. 196 STAMPIN,194,As per 2015 Gazetted Redelineation
SARAWAK,P. 197 KOTA SAMARAHAN,745,As per 2015 Gazetted Redelineation
