UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS (AUGUST 2025),ELECTORS - ORDINARY VOTERS,ELECTORS - MILITARY,ELECTORS - POLICE,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS
P. 125,WILAYAH PERSEKUTUAN PUTRAJAYA,P. 125,PUTRAJAYA,47975,46715,598,662,4576,9786,10998,13151,4886,3484,1002,86,6,23614,24361
P. 126,NEGERI SEMBILAN,P. 126,JELEBU,60367,59070,0,1297,2956,9848,12977,12880,7955,7004,5086,1375,286,30508,29859
P. 127,NEGERI SEMBILAN,P. 127,JEMPOL,96536,96180,0,356,4794,16352,24987,19131,10268,12063,7134,1531,276,47079,49457
P. 128,NEGERI SEMBILAN,P. 128,SEREMBAN,164625,163060,28,1537,10572,33118,33980,28479,23175,19922,11175,3343,861,81653,82972
P. 129,NEGERI SEMBILAN,P. 129,KUALA PILAH,63975,63668,0,307,3065,10622,13208,11508,9476,8695,5065,1869,467,31634,32341
P. 130,NEGERI SEMBILAN,P. 130,RASAH,163812,161751,1401,660,10656,34831,33384,27764,22997,19051,10986,3301,842,80782,83030
P. 131,NEGERI SEMBILAN,P. 131,REMBAU,141552,139254,1748,550,9841,32220,31553,23768,19002,15440,7294,1956,478,69604,71948
P. 132,NEGERI SEMBILAN,P. 132,PORT DICKSON,111347,100781,10082,484,7571,24155,23926,19406,15220,12026,6623,1926,494,58332,53015
P. 133,NEGERI SEMBILAN,P. 133,TAMPIN,82059,77499,4152,408,3860,15065,20011,16318,10222,9221,5454,1629,279,41399,40660
P. 134,MELAKA,P. 134,MASJID TANAH,71051,70824,142,85,4264,14441,15838,12456,9887,8141,4287,1459,278,34621,36430
P. 135,MELAKA,P. 135,ALOR GAJAH,96073,95541,34,498,5848,18969,20729,17194,13442,11145,6237,2074,435,47292,48781
P. 136,MELAKA,P. 136,TANGGA BATU,121987,112668,9262,57,8559,29162,28522,21761,15443,11107,5557,1609,267,62441,59546
